0.63023-0.45704i	0.63085-0.45237i	0.63148-0.44771i	0.6321-0.44304i	0.63273-0.43838i	0.63335-0.43371i	0.63383-0.42893i	0.63414-0.42404i	0.63446-0.41915i	0.63477-0.41425i	0.63508-0.40936i	0.6354-0.40446i	0.63544-0.39938i	0.63544-0.39427i
0.96831-0.040576i	0.96844-0.035939i	0.96857-0.031303i	0.9687-0.026666i	0.96883-0.02203i	0.96897-0.017393i	0.96888-0.012743i	0.96858-0.0080785i	0.96827-0.0034139i	0.96797+0.0012507i	0.96766+0.0059153i	0.96735+0.01058i	0.96666+0.015255i	0.96592+0.01993i
0.92928-0.041871i	0.92949-0.038151i	0.92969-0.034431i	0.92989-0.030711i	0.93009-0.026991i	0.9303-0.023272i	0.9303-0.019539i	0.93008-0.015793i	0.92986-0.012047i	0.92965-0.0083011i	0.92943-0.0045552i	0.92921-0.00080921i	0.92863+0.0029474i	0.92799+0.0067054i
0.88796-0.036267i	0.88808-0.033526i	0.8882-0.030785i	0.88832-0.028044i	0.88844-0.025303i	0.88856-0.022562i	0.88849-0.01981i	0.88821-0.017048i	0.88792-0.014286i	0.88764-0.011524i	0.88736-0.0087618i	0.88708-0.0059997i	0.88645-0.0032289i	0.88577-0.00045691i
0.84602-0.022663i	0.84589-0.020928i	0.84575-0.019193i	0.84562-0.017458i	0.84548-0.015724i	0.84535-0.013989i	0.84503-0.012248i	0.84451-0.010501i	0.84399-0.0087534i	0.84347-0.007006i	0.84295-0.0052586i	0.84243-0.0035112i	0.84158-0.0017597i	0.84068-7.6307e-06i
0.80575-0.00047658i	0.80518+0.00026335i	0.80461+0.0010033i	0.80404+0.0017432i	0.80347+0.0024832i	0.8029+0.0032231i	0.80215+0.0039637i	0.80121+0.0047052i	0.80028+0.0054466i	0.79934+0.006188i	0.7984+0.0069294i	0.79746+0.0076708i	0.79621+0.0084092i	0.79491+0.0091471i
0.7698+0.030028i	0.76862+0.029826i	0.76743+0.029624i	0.76625+0.029422i	0.76507+0.02922i	0.76389+0.029018i	0.76253+0.02881i	0.761+0.028595i	0.75947+0.028381i	0.75793+0.028166i	0.7564+0.027952i	0.75486+0.027737i	0.75302+0.02751i	0.75114+0.027281i
0.74081+0.067562i	0.73885+0.06651i	0.7369+0.065458i	0.73494+0.064405i	0.73298+0.063353i	0.73103+0.062301i	0.72891+0.061234i	0.72661+0.060154i	0.72431+0.059073i	0.72201+0.057992i	0.71972+0.056911i	0.71742+0.05583i	0.71483+0.054725i	0.7122+0.053616i
0.72095+0.10983i	0.71808+0.10805i	0.71521+0.10627i	0.71234+0.1045i	0.70947+0.10272i	0.7066+0.10094i	0.70357+0.099141i	0.70037+0.097317i	0.69717+0.095493i	0.69397+0.093669i	0.69077+0.091845i	0.68757+0.090021i	0.68408+0.088159i	0.68056+0.086293i
0.71147+0.15376i	0.70758+0.15141i	0.70369+0.14905i	0.6998+0.1467i	0.69592+0.14435i	0.69203+0.14199i	0.68798+0.13961i	0.68376+0.13719i	0.67955+0.13477i	0.67533+0.13236i	0.67112+0.12994i	0.6669+0.12752i	0.66241+0.12505i	0.65788+0.12257i
0.71246+0.19593i	0.70748+0.19317i	0.7025+0.19041i	0.69752+0.18764i	0.69254+0.18488i	0.68755+0.18211i	0.68241+0.17931i	0.67711+0.17646i	0.6718+0.17362i	0.66649+0.17077i	0.66119+0.16792i	0.65588+0.16508i	0.6503+0.16216i	0.64469+0.15924i
